model,pk,abbreviation,name
catalog.Locale,152,ful,Fulah
catalog.Locale,153,fur,Friulian
catalog.Locale,154,gaa,Ga
catalog.Locale,155,gay,Gayo
catalog.Locale,156,gba,Gbaya
catalog.Locale,157,gem,Germanic languages
catalog.Locale,158,geo* / kat,Georgian
catalog.Locale,159,ger* / deu,German
catalog.Locale,160,gez,Geez
catalog.Locale,161,gil,Gilbertese
catalog.Locale,162,gla,Gaelic;Scottish Gaelic
catalog.Locale,163,gle,Irish
catalog.Locale,164,glg,Galician
catalog.Locale,165,glv,Manx
catalog.Locale,166,gmh,"German; Middle High(ca. 1050–1500)"
catalog.Locale,167,goh,"German; Old High(ca. 750–1050)"
catalog.Locale,168,gon,Gondi
catalog.Locale,169,gor,Gorontalo
catalog.Locale,170,got,Gothic
catalog.Locale,171,grb,Grebo
catalog.Locale,172,grc,"Greek; Ancient(to 1453)"
catalog.Locale,173,gre* / ell,"Greek; Modern(1453–)"
catalog.Locale,174,grn,Guarani
catalog.Locale,175,gsw,Swiss German;Alemannic;Alsatian
catalog.Locale,176,guj,Gujarati
catalog.Locale,177,gwi,Gwich'in
catalog.Locale,178,hai,Haida
catalog.Locale,179,hat,Haitian; Haitian Creole
catalog.Locale,180,hau,Hausa
catalog.Locale,181,haw,Hawaiian
catalog.Locale,182,heb,Hebrew
catalog.Locale,183,her,Herero
catalog.Locale,184,hil,Hiligaynon
catalog.Locale,185,him,Himachali languages; Pahari languages
catalog.Locale,186,hin,Hindi
catalog.Locale,187,hit,Hittite
catalog.Locale,188,hmn,Hmong;Mong
catalog.Locale,189,hmo,Hiri Motu
catalog.Locale,190,hrv,Croatian
catalog.Locale,191,hsb,Upper Sorbian
catalog.Locale,192,hun,Hungarian
catalog.Locale,193,hup,Hupa
catalog.Locale,194,hye / arm*,Armenian
catalog.Locale,195,iba,Iban
catalog.Locale,196,ibo,Igbo
catalog.Locale,197,ice* / isl,Icelandic
catalog.Locale,198,ido,Ido
catalog.Locale,199,iii,Sichuan Yi;Nuosu
catalog.Locale,200,ijo,Ijo languages
catalog.Locale,201,iku,Inuktitut
catalog.Locale,202,ile,Interlingue;Occidental
catalog.Locale,203,ilo,Iloko
catalog.Locale,204,ina,Interlingua(International Auxiliary Language Association)
catalog.Locale,205,inc,Indic languages
catalog.Locale,206,ind,Indonesian
catalog.Locale,207,ine,Indo-European languages
catalog.Locale,208,inh,Ingush
catalog.Locale,209,ipk,Inupiaq
catalog.Locale,210,ira,Iranian languages
catalog.Locale,211,iro,Iroquoian languages
catalog.Locale,212,isl/ ice*,Icelandic
catalog.Locale,213,ita,Italian
catalog.Locale,214,jav,Javanese
catalog.Locale,215,jbo,Lojban
catalog.Locale,216,jpn,Japanese
catalog.Locale,217,jpr,Judeo-Persian
catalog.Locale,218,jrb,Judeo-Arabic
catalog.Locale,219,kaa,Kara-Kalpak
catalog.Locale,220,kab,Kabyle
catalog.Locale,221,kac,Kachin;Jingpho
catalog.Locale,222,kal,Kalaallisut;Greenlandic
catalog.Locale,223,kam,Kamba
catalog.Locale,224,kan,Kannada
catalog.Locale,225,kar,Karen languages
catalog.Locale,226,kas,Kashmiri
catalog.Locale,227,kat/ geo*,Georgian
catalog.Locale,228,kau,Kanuri
catalog.Locale,229,kaw,Kawi
